OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length,Containment_Duration,Month,Decade,C_METHOD_DESCRIPTION,CAUSE_DESCRIPTION
211,2023,CA,NPS,KNP,SYCAMORE,00000114,2023-10-16 00:00:00+00:00,2023-10-20 00:00:00+00:00,2.0,1.0,1.0,23.93,2020.0,150164.6484375,1628.45483373525,96.0,10,2020,Direct Attack (Hand Crews & Tools),Equipment Use
213,2023,CA,CDF,SDU,BORDER 34,00024114,2023-10-29 00:00:00+00:00,2023-10-30 00:00:00+00:00,14.0,1.0,1.0,23.66831,2020.0,135338.1171875,2228.00092751809,24.0,10,2020,Direct Attack (Hand Crews & Tools),Unknown
215,2023,CA,NPS,MNP,VALLEY,00008684,2023-06-17 00:00:00+00:00,2023-06-23 00:00:00+00:00,1.0,1.0,,28.64047,2020.0,174526.15625,4156.4985940205,144.0,6,2020,Direct Attack (Hand Crews & Tools),Lightning
216,2023,CA,NPS,JTP,GEOLOGY,00008414,2023-06-10 00:00:00+00:00,2023-06-18 00:00:00+00:00,10.0,3.0,,1033.308,2020.0,6086124.55078125,15544.8390359539,192.0,6,2020,Aerial Suppression (Planes & Helicopters),Fireworks
217,2023,CA,USF,HTF,WOLF CREEK,00030697,2023-09-13 00:00:00+00:00,2023-09-20 00:00:00+00:00,14.0,7.0,1.0,32.59397,2020.0,216134.73046875,4029.09343014341,168.0,9,2020,Mop-up (Extinguishing Hot Spots),Unknown
219,2023,CA,USF,MDF,JANES,00000177,2023-05-22 00:00:00+00:00,2023-05-23 00:00:00+00:00,14.0,8.0,1.0,8.502274,2020.0,62117.34375,1985.06995489545,24.0,5,2020,Fire Shelter Deployment (Emergency Only),Unknown
220,2023,CA,USF,MDF,JESS,00000181,2023-05-24 00:00:00+00:00,2023-05-26 00:00:00+00:00,14.0,7.0,1.0,56.06239,2020.0,401150.5234375,5383.56543388737,48.0,5,2020,Mop-up (Extinguishing Hot Spots),Unknown
221,2023,CA,USF,SHF,MULE,00000721,2023-07-02 00:00:00+00:00,2023-07-03 00:00:00+00:00,14.0,1.0,1.0,5.702603,2020.0,40440.6796875,1171.61566397352,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
222,2023,CA,USF,LNF,L-1 BRANCH FISH,00004323,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,14.0,7.0,1.0,8.922971,2020.0,62661.8828125,1019.67179685544,24.0,8,2020,Mop-up (Extinguishing Hot Spots),Unknown
224,2023,CA,USF,SRF,MONTE,00000486,2023-06-06 00:00:00+00:00,2023-06-07 00:00:00+00:00,14.0,1.0,1.0,5.489922,2020.0,39466.578125,1768.08851140458,24.0,6,2020,Direct Attack (Hand Crews & Tools),Unknown
225,2023,CA,USF,MNF,SLIDE 1,00000852,2023-08-15 00:00:00+00:00,2023-08-23 00:00:00+00:00,1.0,3.0,1.0,472.7209,2020.0,3269595.19140625,12733.7185685254,192.0,8,2020,Aerial Suppression (Planes & Helicopters),Lightning
226,2023,CA,USF,TNF,HIGHWAY,00001295,2023-08-16 00:00:00+00:00,2023-08-17 00:00:00+00:00,14.0,6.0,1.0,44.80482,2020.0,303525.9453125,3664.24111422775,24.0,8,2020,Natural Barriers (Using Terrain Features),Unknown
229,2023,CA,USF,SRF,PILOT,00000932,2023-08-15 00:00:00+00:00,2024-01-09 00:00:00+00:00,14.0,6.0,1.0,76.7887,2020.0,539647.9140625,3204.00611784048,3528.0,8,2020,Natural Barriers (Using Terrain Features),Unknown
231,2023,CA,USF,LPF,AVENALES,00002880,2023-10-12 00:00:00+00:00,2023-10-14 00:00:00+00:00,14.0,6.0,1.0,259.8927,2020.0,1579435.296875,8222.41846759924,48.0,10,2020,Natural Barriers (Using Terrain Features),Unknown
232,2023,CA,USF,ANF,AGUA,00232390,2023-07-25 00:00:00+00:00,2023-08-08 00:00:00+00:00,14.0,6.0,1.0,426.2046,2020.0,2541744.765625,8617.84886226543,336.0,7,2020,Natural Barriers (Using Terrain Features),Unknown
233,2023,CA,USF,SNF,KING,00001561,2023-10-14 00:00:00+00:00,2023-10-16 00:00:00+00:00,9.0,6.0,1.0,118.5461,2020.0,757854.10546875,5737.53366638727,48.0,10,2020,Natural Barriers (Using Terrain Features),Miscellaneous
234,2023,CA,USF,SNF,WILDCAT,00000555,2023-06-17 00:00:00+00:00,2023-06-27 00:00:00+00:00,1.0,6.0,1.0,46.6567,2020.0,295928.0234375,3660.86652070671,240.0,6,2020,Natural Barriers (Using Terrain Features),Lightning
236,2023,CA,BLM,CDD,IMVITE,00006194,2023-04-17 00:00:00+00:00,2023-04-22 00:00:00+00:00,10.0,7.0,1.0,62.93432,2020.0,394267.3203125,6353.72908639242,120.0,4,2020,Mop-up (Extinguishing Hot Spots),Fireworks
